height,weight,age,male,Gender
161.29,48.19415,19,1,Male
159.385,48.8461885,32,1,Male
140.6398,28.859791,12,1,Male
147.32,48.9595865,25,0,Female
152.4,39.292407,49,0,Female
146.685,38.0733785,48,0,Female
165.735,58.5984165,42,1,Male
125.095,22.5945515,12,0,Female
85.09,11.4248485,3,0,Female
150.495,40.483086,68,0,Female
149.225,43.941725,33,1,Male
146.05,44.7638605,21,0,Female
149.225,42.240755,45,0,Female
154.305,45.756093,44,0,Female
147.955,47.400364,36,0,Female
151.765,49.4131785,30,1,Male
149.225,44.0834725,56,0,Female
163.195,48.5626935,36,1,Male
137.16,28.91649,15,1,Male
91.44,12.927372,6,0,Female
139.7,36.4858065,63,0,Female
148.59,39.519203,62,1,Male
163.83,47.910655,57,1,Male
